epoch,iteration,model_best_val_score,model_loss,model_val_score,step,train_dataset_size,val_dataset_size
22.0,1.0,1.2499441481850226e-07,-68.56424331665039,2.109941306116525e-06,93,4000.0,1000.0
23.0,1.0,1.2499441481850226e-07,-69.08436059951782,3.7376685213530436e-06,94,4000.0,1000.0
24.0,1.0,1.2499441481850226e-07,-67.47553300857544,1.22075234685326e-05,95,4000.0,1000.0
25.0,1.0,1.2499441481850226e-07,-68.3941216468811,1.0530926374485716e-05,96,4000.0,1000.0
26.0,1.0,1.2499441481850226e-07,-66.62656831741333,2.710196167754475e-05,97,4000.0,1000.0
0.0,2.0,1.736688136588782e-05,-51.19453501701355,3.285603816038929e-05,98,4000.0,1000.0
1.0,2.0,8.913185411074664e-06,-66.24076652526855,1.0207930245087482e-05,99,4000.0,1000.0
2.0,2.0,2.688738277356606e-06,-68.49900197982788,2.7812229745904915e-06,100,4000.0,1000.0
3.0,2.0,1.1834234783236752e-06,-68.6184515953064,2.770291985143558e-06,101,4000.0,1000.0
4.0,2.0,5.445698434414226e-07,-68.96135425567627,7.853074635022494e-07,102,4000.0,1000.0
5.0,2.0,3.170941624830448e-07,-69.15580940246582,2.1389239464042475e-06,103,4000.0,1000.0
6.0,2.0,3.073592438340711e-07,-68.71846675872803,1.889790269160585e-06,104,4000.0,1000.0
7.0,2.0,3.020557528543577e-07,-68.81333827972412,2.0337372461654013e-06,105,4000.0,1000.0
8.0,2.0,2.992677821112011e-07,-68.30024480819702,3.488382617433672e-06,106,4000.0,1000.0
9.0,2.0,2.4189466785173863e-07,-68.91274833679199,1.341441816293809e-06,107,4000.0,1000.0
10.0,2.0,2.3529534587396483e-07,-69.17471361160278,1.6892665826162556e-06,108,4000.0,1000.0
11.0,2.0,2.3353534572834178e-07,-68.00430202484131,1.4015237866260577e-05,109,4000.0,1000.0
12.0,2.0,2.3353534572834178e-07,-67.79872751235962,1.0370882591814734e-05,110,4000.0,1000.0
13.0,2.0,2.330194348587611e-07,-68.13280582427979,2.1288994958013063e-06,111,4000.0,1000.0
14.0,2.0,2.330194348587611e-07,-68.59433841705322,2.8484657832450466e-06,112,4000.0,1000.0
15.0,2.0,2.3178051833383506e-07,-68.65051698684692,9.314842827734537e-06,113,4000.0,1000.0
16.0,2.0,2.3178051833383506e-07,-68.70996904373169,1.3129443914294825e-06,114,4000.0,1000.0
17.0,2.0,1.7467183965891309e-07,-69.04376077651978,2.749950226643705e-06,115,4000.0,1000.0
18.0,2.0,1.7125464069067675e-07,-68.75170516967773,2.7526934900379274e-06,116,4000.0,1000.0
19.0,2.0,1.7125464069067675e-07,-68.6994457244873,7.757402272545733e-06,117,4000.0,1000.0
20.0,2.0,1.7125464069067675e-07,-66.76571655273438,2.1287287381710485e-05,118,4000.0,1000.0
21.0,2.0,1.7125464069067675e-07,-67.77973699569702,4.184617864666507e-06,119,4000.0,1000.0
22.0,2.0,1.7125464069067675e-07,-69.03350973129272,8.493359473504825e-07,120,4000.0,1000.0
23.0,2.0,1.7125464069067675e-07,-69.18775987625122,3.747051323443884e-06,121,4000.0,1000.0
0.0,3.0,7.068815466482192e-05,-37.684136003255844,7.901939534349367e-05,122,4000.0,1000.0
1.0,3.0,1.868076651589945e-05,-62.071428298950195,1.868076651589945e-05,123,4000.0,1000.0
2.0,3.0,2.8460306111810496e-06,-67.60361289978027,2.8460306111810496e-06,124,4000.0,1000.0
3.0,3.0,9.01478699688596e-07,-68.71789693832397,1.0556482266110834e-06,125,4000.0,1000.0
4.0,3.0,3.1607416417500644e-07,-69.05219841003418,3.2804840088829224e-07,126,4000.0,1000.0
5.0,3.0,1.4779627122152306e-07,-69.17827606201172,1.4779627122152306e-07,127,4000.0,1000.0
6.0,3.0,1.0354848001270511e-07,-69.23786783218384,1.0354848001270511e-07,128,4000.0,1000.0
7.0,3.0,9.587223104290388e-08,-69.27129936218262,9.975720161037316e-08,129,4000.0,1000.0
8.0,3.0,8.272398588360375e-08,-69.29404497146606,9.731523675782228e-08,130,4000.0,1000.0
9.0,3.0,8.272398588360375e-08,-69.31015968322754,1.6338358932443953e-07,131,4000.0,1000.0
10.0,3.0,7.222120501637619e-08,-69.31412267684937,3.7431109944918717e-07,132,4000.0,1000.0
