epoch,iteration,model_best_val_score,model_loss,model_val_score,step,train_dataset_size,val_dataset_size
26.0,1.0,1.2499441481850226e-07,-66.62656831741333,2.710196167754475e-05,189,4000.0,1000.0
0.0,2.0,1.830122528190259e-05,-57.94647526741028,3.5557739465730265e-05,190,4000.0,1000.0
1.0,2.0,8.17353884485783e-06,-66.79714632034302,8.17353884485783e-06,191,4000.0,1000.0
2.0,2.0,1.8594383845993434e-06,-68.58737182617188,2.240949243059731e-06,192,4000.0,1000.0
3.0,2.0,9.755773362485343e-07,-69.0132908821106,1.1960514711972792e-06,193,4000.0,1000.0
4.0,2.0,7.199052447504073e-07,-68.75267028808594,7.811977411620319e-06,194,4000.0,1000.0
5.0,2.0,6.715567337778339e-07,-68.04443216323853,6.583152753592003e-06,195,4000.0,1000.0
6.0,2.0,4.092983374448522e-07,-68.78475856781006,1.3468028328134096e-06,196,4000.0,1000.0
7.0,2.0,2.7832192017740454e-07,-68.33026170730591,2.1187634047237225e-06,197,4000.0,1000.0
8.0,2.0,2.2835635604678828e-07,-68.17393779754639,4.457322938833386e-05,198,4000.0,1000.0
9.0,2.0,2.048026459533503e-07,-66.81607842445374,5.439071173896082e-06,199,4000.0,1000.0
10.0,2.0,1.4929399583252234e-07,-68.58762073516846,2.2116417312645353e-05,200,4000.0,1000.0
11.0,2.0,1.4834954242815002e-07,-66.57161045074463,6.764144927728921e-06,201,4000.0,1000.0
12.0,2.0,1.4834954242815002e-07,-68.75817060470581,7.301803634618409e-06,202,4000.0,1000.0
13.0,2.0,1.4308488971437328e-07,-68.46719121932983,8.649732876619964e-07,203,4000.0,1000.0
14.0,2.0,1.176776223132947e-07,-69.22174978256226,4.380791835956188e-07,204,4000.0,1000.0
15.0,2.0,1.1301254687623441e-07,-69.05663251876831,9.314707313023973e-06,205,4000.0,1000.0
16.0,2.0,1.1301254687623441e-07,-68.02712345123291,9.066475286090281e-06,206,4000.0,1000.0
17.0,2.0,1.0860893695507912e-07,-67.57718706130981,6.782605851185508e-06,207,4000.0,1000.0
18.0,2.0,1.0860893695507912e-07,-68.40173149108887,2.5228810045518912e-06,208,4000.0,1000.0
19.0,2.0,1.0860893695507912e-07,-69.16337585449219,1.2365641168798902e-06,209,4000.0,1000.0
20.0,2.0,1.0860893695507912e-07,-68.71536779403687,1.9847842850140296e-05,210,4000.0,1000.0
21.0,2.0,1.0860893695507912e-07,-67.45093297958374,1.2309673365962226e-05,211,4000.0,1000.0
22.0,2.0,1.0860893695507912e-07,-68.37953567504883,2.4384994503634516e-06,212,4000.0,1000.0
0.0,2.0,1.736688136588782e-05,-51.19453501701355,3.285603816038929e-05,213,4000.0,1000.0
1.0,2.0,8.913185411074664e-06,-66.24076652526855,1.0207930245087482e-05,214,4000.0,1000.0
2.0,2.0,2.688738277356606e-06,-68.49900197982788,2.7812229745904915e-06,215,4000.0,1000.0
3.0,2.0,1.1834234783236752e-06,-68.6184515953064,2.770291985143558e-06,216,4000.0,1000.0
4.0,2.0,5.445698434414226e-07,-68.96135425567627,7.853074635022494e-07,217,4000.0,1000.0
5.0,2.0,3.170941624830448e-07,-69.15580940246582,2.1389239464042475e-06,218,4000.0,1000.0
6.0,2.0,3.073592438340711e-07,-68.71846675872803,1.889790269160585e-06,219,4000.0,1000.0
7.0,2.0,3.020557528543577e-07,-68.81333827972412,2.0337372461654013e-06,220,4000.0,1000.0
8.0,2.0,2.992677821112011e-07,-68.30024480819702,3.488382617433672e-06,221,4000.0,1000.0
9.0,2.0,2.4189466785173863e-07,-68.91274833679199,1.341441816293809e-06,222,4000.0,1000.0
10.0,2.0,2.3529534587396483e-07,-69.17471361160278,1.6892665826162556e-06,223,4000.0,1000.0
11.0,2.0,2.3353534572834178e-07,-68.00430202484131,1.4015237866260577e-05,224,4000.0,1000.0
12.0,2.0,2.3353534572834178e-07,-67.79872751235962,1.0370882591814734e-05,225,4000.0,1000.0
13.0,2.0,2.330194348587611e-07,-68.13280582427979,2.1288994958013063e-06,226,4000.0,1000.0
14.0,2.0,2.330194348587611e-07,-68.59433841705322,2.8484657832450466e-06,227,4000.0,1000.0
15.0,2.0,2.3178051833383506e-07,-68.65051698684692,9.314842827734537e-06,228,4000.0,1000.0
16.0,2.0,2.3178051833383506e-07,-68.70996904373169,1.3129443914294825e-06,229,4000.0,1000.0
17.0,2.0,1.7467183965891309e-07,-69.04376077651978,2.749950226643705e-06,230,4000.0,1000.0
18.0,2.0,1.7125464069067675e-07,-68.75170516967773,2.7526934900379274e-06,231,4000.0,1000.0
19.0,2.0,1.7125464069067675e-07,-68.6994457244873,7.757402272545733e-06,232,4000.0,1000.0
20.0,2.0,1.7125464069067675e-07,-66.76571655273438,2.1287287381710485e-05,233,4000.0,1000.0
21.0,2.0,1.7125464069067675e-07,-67.77973699569702,4.184617864666507e-06,234,4000.0,1000.0
22.0,2.0,1.7125464069067675e-07,-69.03350973129272,8.493359473504825e-07,235,4000.0,1000.0
23.0,2.0,1.7125464069067675e-07,-69.18775987625122,3.747051323443884e-06,236,4000.0,1000.0
0.0,3.0,3.3821637771325186e-05,-56.007415771484375,3.3821637771325186e-05,237,4000.0,1000.0
1.0,3.0,9.677094567450695e-06,-65.74198842048645,9.805618901737034e-06,238,4000.0,1000.0
2.0,3.0,2.767657178992522e-06,-68.40581321716309,2.767657178992522e-06,239,4000.0,1000.0
